runner_id,race_id,meet_id,jockey_win_rate,jockey_total_races,jockey_roi,jockey_track_win_rate,jockey_track_races,jockey_win_rate_7d,jockey_races_7d,jockey_win_rate_30d,jockey_races_30d,jockey_win_rate_90d,jockey_races_90d,trainer_win_rate,trainer_total_races,trainer_roi,trainer_track_win_rate,trainer_track_races,trainer_win_rate_7d,trainer_races_7d,trainer_win_rate_30d,trainer_races_30d,trainer_win_rate_90d,trainer_races_90d,horse_win_rate,horse_total_races,horse_avg_finish,horse_days_since_last_race,horse_career_earnings,race_distance,race_distance_furlongs,surface_dirt,surface_turf,surface_synthetic,race_type_maiden,race_type_claiming,race_type_allowance,race_type_stakes,race_purse,race_min_claim_price,race_max_claim_price,is_graded_stakes,field_size,post_position,post_position_normalized,weight_carried,ml_odds_decimal,ml_odds_prob,ml_odds_rank,is_favorite,odds_category_heavy_favorite,odds_category_favorite,odds_category_second_tier,odds_category_mid_price,odds_category_longshot,odds_category_extreme_longshot,odds_category_unknown,target_win,target_finish_position
4363.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,4.0,0.5714285714285714,123.0,15.0,0.0625,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
4364.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,5.0,0.7142857142857143,123.0,1.6,0.3846153846153846,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4365.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,6.0,0.8571428571428571,123.0,15.0,0.0625,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
4366.0,474.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60000.0,50000.0,75000.0,0.0,7.0,7.0,1.0,123.0,3.5,0.2222222222222222,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4367.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,1.0,0.14285714285714285,114.0,12.0,0.07692307692307693,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
4368.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,2.0,0.2857142857142857,121.0,1.8,0.35714285714285715,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4369.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,3.0,0.42857142857142855,123.0,8.0,0.1111111111111111,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
4370.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,4.0,0.5714285714285714,123.0,2.5,0.2857142857142857,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4371.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,5.0,0.7142857142857143,123.0,12.0,0.07692307692307693,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
4372.0,475.0,87.0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,5.0,999,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77000.0,0.0,0.0,0.0,7.0,6.0,0.8571428571428571,123.0,2.0,0.3333333333333333,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
